Sr. No.,Filename,Struct/Dsect,Name
65,cclwrcw.hpp,LwrCommon,dbItemAutoApprovalAdd
66,cclwrcw.hpp,LwrCommon,eligibleFor5csc
67,cclwrcw.hpp,LwrCommon,eligibleFor4dbc
68,cclwrcw.hpp,LwrCommon,eligibleFor3csc
69,ccl7d7d.hpp,BcisCidUpdateRecord,cardIdentifierCode
70,isocm.hpp,AmexCmNumber,bankIdNumber
71,isocm.hpp,AmexCmNumber,billingCycle
72,isocm.hpp,AmexCmNumber,terminalDigit
73,lwrpauth.hpp,PlasticAuth,vwDbCid
74,cclvwvw.hpp,CidReferralExceptionItem,forceReferTxnCid
75,cclvwvw.hpp,CidReferralExceptionItem,forceReferDbCid
76,cclvwvw.hpp,CidReferralExceptionItem,doNotForceReferTxnCid
77,cclvwvw.hpp,CidReferralExceptionItem,doNotForceReferDbCid
78,cclvvvv.hpp,LvvvvKey,cycleDigit
79,cclwrcw.hpp,LwrCommon,referInputTransactionCidDb
80,cclwrcw.hpp,LwrCommon,referDbRecordCidDb
81,cclwrcw.hpp,LwrCommon,dbCmFraudProbabilityScore
82,cclwrcw.hpp,LwrCommon,cidSentToCas
83,cclwrcw.hpp,LwrCommon,cidInStripe
84,cclwrcw.hpp,LwrCommon,franchiseDes5csc
85,cclwrpo.hpp,PlasticAuth,compromiseStatusCodeSummary
86,cclwrpo.hpp,PlasticAuth,compromisedCardTransactionSelectionCertainty
87,cclwrcw.hpp,LwrCommon,cardUseIndicator
88,cclwrcw.hpp,LwrCommon,embossDate.dbCompleteDate
89,ccle2e2.hpp,OtherCompanyBasicRecord,dateOfInput
90,cclwrcw.hpp,LwrCommon,expirationDateNotNumeric
91,cclwrcw.hpp,LwrCommon,expirationMonthGT12
92,cclwrcw.hpp,LwrCommon,expirationDateLTToday
93,cclwrcw.hpp,LwrCommon,effectiveDateNotNumeric
94,cclwrcw.hpp,LwrCommon,cidNotNumeric
95,cclwrcw.hpp,LwrCommon,cardNotEffective
96,cclwrcw.hpp,LwrCommon,unmatchedEffectiveDate
97,cclwrcw.hpp,LwrCommon,cidPresentNoExpDate
98,cclwrcw.hpp,LwrCommon,monthsTodayExp76
99,cclwrcw.hpp,LwrCommon,expiredCard
100,lwrrefer.hpp,LwrReferralResolution,expiredInputExpDate
101,lwrrefer.hpp,LwrReferralResolution,manualUnmatchedExpDate
102,cclwrcw.hpp,LwrCommon,referUnmatchedExpDate
103,cclwrcw.hpp,LwrCommon,relaxExpDateExempt
104,cclwrcw.hpp,LwrCommon,amexSeIndustryType
105,cclwrcw.hpp,LwrCommon,fasReferIndicator
106,cclwrcw.hpp,LwrCommon,requireExpDate
107,lwrpauth.hpp,PlasticAuth,cidDbExpiredDate
108,cclwrcw.hpp,LwrCommon,plasticLess
109,cclwrcw.hpp,LwrCommon,btaCorporate
110,cclwrcw.hpp,LwrCommon,unmatchedCid
111,cclwrcw.hpp,LwrCommon,invalidCid
112,cclwrcw.hpp,LwrCommon,referralControl
113,cclwrcw.hpp,LwrCommon,referralControl.seDb
114,cclwrcw.hpp,LwrCommon,referralControl.l6k6k
115,lwrpauth.hpp,PlasticAuth,referralControl.seCountryIndustry
116,lwrpauth.hpp,PlasticAuth,referralControl.seRegionIndustry
117,cclwrcw.hpp,LwrCommon,seDb.referCidReferralReasons
118,cclwrcw.hpp,LwrCommon,seDb.referExpiredCard
119,cclwrcw.hpp,LwrCommon,seDb.referUnmatchedKeyed4dbc
120,cclwrcw.hpp,LwrCommon,seDb.referSwipe4dbc
121,lwrpauth.hpp,PlasticAuth,seDb.referNoCid
122,cclwrcw.hpp,LwrCommon,seDb.referUnmatchedKeyedExpDate
123,cclwrcw.hpp,LwrCommon,referKeyed4dbc
124,cclwrcw.hpp,LwrCommon,l6k6k.referUnmatchedCid
125,cclwrcw.hpp,LwrCommon,l6k6k.referInvalidCid
126,cclwrcw.hpp,LwrCommon,l6k6k.referSwipe4dbc
127,cclwrcw.hpp,LwrCommon,l6k6k.referRequireExpDate
128,cclwrcw.hpp,LwrCommon,l6k6k.referRequireExpDateExemptBatch
129,cclwrcw.hpp,LwrCommon,refer3csc
130,cclwrcw.hpp,LwrCommon,thresholdExceeded
131,cclwrcw.hpp,LwrCommon,franchiseCard5DigitBin
132,cclwrcw.hpp,LwrCommon,actwarnOverrideExists
133,cclwrcw.hpp,LwrCommon,cardProduct
134,cclwrcw.hpp,LwrCommon,plastic
135,cclwrcw.hpp,LwrCommon,notRefFor
136,cclwrcw.hpp,LwrCommon,notRefFor.noCid
137,cclwrcw.hpp,LwrCommon,notRefFor.unmatchedCid
138,cclwrcw.hpp,LwrCommon,notRefFor.invalidCid
139,cclwrcw.hpp,LwrCommon,notRefFor.embossTable
140,cclwrcw.hpp,LwrCommon,notRefFor.fraudEmboss
141,cclwrcw.hpp,LwrCommon,notRefFor.dbCid
142,cclwrcw.hpp,LwrCommon,notRefFor.serviceEstablishment
143,lwrpauth.hpp,PlasticAuth,notRefFor.posLink
144,lwrpauth.hpp,PlasticAuth,notRefFor.manualCidRules
145,cclwrpo.hpp,PlasticAuth,notRefFor.matched3csc
146,cclwrcw.hpp,LwrCommon,notRefFor.issueMagSwipe
147,cclwrcw.hpp,LwrCommon,notRefFor.issue4dbc
148,lwrpauth.hpp,PlasticAuth,notRefFor.ecrSupport
149,lwrpauth.hpp,PlasticAuth,notRefFor.btaAccount
150,cclwrpo.hpp,PlasticAuth,notRefFor.inputCid
151,cclwrcw.hpp,LwrCommon,notRefFor.authorizerAssist
152,cclwrcw.hpp,LwrCommon,notRefFor.previousApproval
153,cclwrcw.hpp,LwrCommon,notRefFor.stripeExpiryDate30plus
154,cclwrcw.hpp,LwrCommon,notRefFor.dacFraudAlert
155,cclwrcw.hpp,LwrCommon,notRefFor.allCriticalDoNotPlsCall
156,cclwrcw.hpp,LwrCommon,deactivatedCardReferral
157,cclwrcw.hpp,LwrCommon,noCidRefProcessing
158,cclwrcw.hpp,LwrCommon,dbFetchAttempted
159,lwrpauth.hpp,PlasticAuth,recommendPlasticAuthReferral
160,cclwrcw.hpp,LwrCommon,creditRequestReferred
161,cclwrcw.hpp,LwrCommon,logReportInd
162,cclwrcw.hpp,LwrCommon,casApprovalCode
163,cclwrcw.hpp,LwrCommon,authorizerPhNumber
164,ccbr61ae.hpp,Br61LRec60,phoneExtension
165,cclwrcw.hpp,LwrCommon,editLogErrors
166,cclwrcw.hpp,LwrCommon,noCidRef
167,cclwrcw.hpp,LwrCommon,unmatchedSwipe4dbc
168,cclwrcw.hpp,LwrCommon,fraudEmbossRef
169,cccr21ae.hpp,Cr21LRec60,issuanceCode
170,cclwrpo.hpp,PlasticAuth,noValidTimeSlotForMagSwipeOfThisChipCard
171,cclwrpo.hpp,Repl900LwrpoItems,redYellowGreen
172,cclwrpo.hpp,Repl900LwrpoItems,repl900TransactionIndicator
173,cccr21ae.hpp,Cr21LRec60,stateCodeMailingAddress
174,pauth.hpp,SelectWorkArea,transactionIndicator
175,cclwrpo.hpp,PlasticAuth,trxnResult
176,cccr21ae.hpp,Cr21LRec60,cardTypeIndicator
177,ccl7e7e.hpp,L7e7e,embossType
178,pauth.hpp,CardSecurityCode,cm5csc
179,cccr21ae.hpp,Cr21LRec60,effectiveDateMmYy
180,cclsy77.hpp,M4Table,countryCode
181,ccir1ir.hpp,TransactionHistory,transactionSource
182,lwrpauth.hpp,PlasticAuth,editErrorExpDate
183,cccr21ae.hpp,Cr21LRec60,flagByte
184,cclwrpo.hpp,PlasticAuth,softCardValue
185,cccr21ae.hpp,Cr21LRec60,resultIndicator
186,ccl8y8y.hpp,FASRequest,clearControlVector2
187,ccwp1p1.hpp,Wp1p1,tsrgReason
188,cccr26ae.hpp,Cr26LRec66,cuctexp
189,cr28ae50.hpp,cr28ae50,kxliaind
190,cclwrcn.hpp,LwrcnVariableData,lwrcnReplacementReason
191,cccr28ae.hpp,AccountRecordOfCharge,unmatchedRocCaptureDate
192,ccwp1p1.hpp,Wp1p1,ssFiller2
193,ccpb0pb.hpp,ProcessBlock,oldSchdPayAmountBin
194,ccwp1p1.hpp,Wp1p1,cdssgSBFEInd
195,cccr26ae.hpp,Cr26LRec7E,addDate7E
196,ccl4q4q.hpp,CurrencyConversionTable,fromspares
197,cchsmra.hpp,ValidatePartialPin_184,encryptedPin2
198,cclwrcx.hpp,SEAggregator,totProdCASExpCASBDP
199,cccr21oe.hpp,OneExposureData,synchUpdateDate
200,xmltogrf.hpp,GroupItem,infoCode1
201,rantdac.hpp,Rant2DAC,derogValue
202,cclwrls.hpp,LinkSource,embededHeaders
203,cczcslr.hpp,ReturnParams,pinKeyVersion1Retrieved
204,cccrj1ae.hpp,CrJ1LRec20,crj120rcc
205,cclwrcx.hpp,OdysseyWCTAccumVar,totDolAprdWCT24hr
206,cclwrwr.hpp,LogRecordType,GNABTFraud
207,cclwrmz.hpp,LwrmzWkArea,lwrmz_bdarbinc
208,cclwrle.hpp,EASource,LwrleRecordSpace
209,ccacmev.hpp,AcmevBlock,corpClientId
210,ccdr40ae.hpp,Dr40WorkULI,IncomeExist
211,cclvmvm.hpp,CVMinfo,pintStatus
212,cckeydb.hpp,KeyDataFields,pOptHeader
213,ccpb0pb.hpp,ProcessBlock,controllingUserGroupNumber
214,cclwraw.hpp,LwrAccumWkArea,probBizTxn1month
215,cccr21ae.hpp,Cr21LRec66,monRemittanceAmt
216,cclwrpv.hpp,PayACHVariables,custAllWctPymt15to380
217,cclwrsv.hpp,SV_LogSRec,supportDataText
218,cchsmra.hpp,HsmRa,validatePartialPin_284
219,cccr26ae.hpp,Cr26LRec70,rvlvOpencur
220,ccl7a7a.hpp,Item1,creditOverrideIndicators
221,cclwrcx.hpp,CDSS5Phase3,percentPerRtlSpendLast30day
222,cclwrcc.hpp,CC_LogARecord,ddaLocCurrentTxnInd
223,ccl0k0k.hpp,OriginalDataArea,errorCodeTable
224,cclm1m1.hpp,DatabaseWorkBlock,savedOptionIndicators
225,cclwrpa.hpp,LwrPaymentWork,creditPath
226,ccl6a6a.hpp,AmexIso8583UniqueFields,cardCaptureCapability
227,wb4wb.hpp,WB4WB,wb4actno
228,otblapi.hpp,OTBL_Screen3,seTypeLpermWeeklyAvlblFunds
229,ccl5l5l.hpp,FirData,effRotationDt
230,ccdr40ae.hpp,Dr40LRec94,sbfeDelinqIndex
231,cclwrwr.hpp,LogRecordType,logLSublogX
232,cclwry3.hpp,LwrY3ELogArea,aavLastnm
233,cclwrgc.hpp,CreditTransformationArea,creditTransform180
234,cclhphp.hpp,ItemsC,comp
235,cclwraw.hpp,LwrAccumWkArea,cmti24Ct
236,cccr41ae.hpp,Cr41ae,transAmtSdvTd
237,paydbapi.hpp,PaymentOption,minNumberOfReturns
238,cclwrnd.hpp,LWRND_DERIVED,df43AggregatorAddressLen
239,cclwrwr.hpp,LwrRegisters,lwrR4
240,cclwrs2.hpp,SE_LogS2Record,verificationCode2Digits4
241,seaccxml.hpp,seDlrIdVariables,seAvgMonthlyTransactionVolumeMatches
242,cclwrg0.hpp,G0_Log0Record,numChargesLimit
243,cclwrgl.hpp,GL_Utilization,klWeeklyUtilVarTransAmt
244,ccli7i7.hpp,CmsbItem,locationYr
245,ccli7i7.hpp,CmadItem,addrChgMM
246,ccpb0pb.hpp,ProcessBlock,polkFileInfoSaveArea
247,selact.hpp,Sel_Act_Item,sel_ebrout
248,cccre2ae.hpp,CrE2LRec25,cre2rcc
249,ccl0k0k.hpp,VisaIso8583,fileNameLength
250,cccrj1ae.hpp,CrJ1LRec90,crj1rc2
251,ccdr40ae.hpp,Dr40LRecA1,nonTrCSBSOtb
252,ccmqhdrg.hpp,MqHeaderTypeG,correlationId
253,cclssss.hpp,SsTable,beginCycleCutDate
254,cccr26ae.hpp,Cr26LRec7C,noInvolClosedTrade24Mon
255,cclwroe.hpp,LwrOneExp,acctLevel
256,ccle2e2.hpp,Le2SystemDerGenData,bankIssuerNumber
257,ccluiui.hpp,Luient,referalAgeCash
258,ccl7d7d.hpp,BasicCreditInputSegment,oneTimeCharge63SupportIndic
259,ccactapi.hpp,AcctDBParms,outputBuf
260,ccwp1p1.hpp,Wp1p1,cbfcoIndicator
261,cclwrdn.hpp,Lwrdn,PaEmIAnDec6Hr
262,cccr26ae.hpp,Cr26LRec70,allTrdTotalMoPay
263,cclg1g1.hpp,TempLimitsRecord,tempProdCodeExpireDte
264,ccl5z5z.hpp,Fir,allowPOS
265,cccre1ae.hpp,CrE1LRec8B,cre18b_rtspdc90
266,ccdr40ae.hpp,Dr40LRec36,groupId2
267,ccainio.hpp,AinioAirlineInternetData,transponderLength
268,cclwroe.hpp,LwrOneExp,pdrTotBen
269,ccdr40ae.hpp,Dr40LRec5D,accstScrHi
270,cczcslr.hpp,GenerateCscAndVCscEncryptedValues,OP_Csc4EncrptCd_VAR
271,cclwrcw.hpp,LwrCommon,glOtbGrmsExposureOverlayInUsdWork
272,cclx3x3.hpp,KblkTripletKeyData,LstUseCMD
273,ccl7d7d.hpp,Amex15DigitNumber,creditRepacementCode
274,ccdr40ae.hpp,Dr40LRec92,wwicItem
275,cclwrle.hpp,LwrleDF47EAPlus,LwrleEAPlusDF47IACDepDate
276,cclwrdw.hpp,Lwrdw,cmcSeqNbr
277,cclnazk.hpp,Lnazk,lnazk_bcity
278,ccpb0pb.hpp,ProcessBlock,newExpiryDateMonthAttribute
279,cclwrcx.hpp,DeferPymtPlanVar,ratioOutStandDPPBal
280,cchsmra.hpp,KeyBlkReplyDetails,noOfOptBlks
281,cclwrcx.hpp,SEAggregator,numApprovedTxn
282,ccl5l5l.hpp,FirData,offlnSettleInd
283,cclaxax.hpp,Isskys1408,issPrv1
284,ccdr40ae.hpp,Dr40LRec7B,abilitypay
285,ccor6dae.hpp,DataType06,iso8583len6
286,cclt2t2.hpp,Lt2vara,lt2osp1
287,cclwrdw.hpp,CreditRules,otbtestrul2
288,ccicnwk.hpp,infoFromCB82,lt3t3_address
289,cclwraw.hpp,LwrAccumWkArea,minsnasg
290,lwrargrm.hpp,lwrHshdItem,history60DaysAmount
291,cclhphp.hpp,AccountSE,accountFiller
292,cclscsc.hpp,SupportTable,inputFieldCount
293,cclwrlg.hpp,LG_LogARecord,seBFSCode
294,ccle2e2.hpp,ResponseResolutionFields,remoteRefVoiceRespIndic
295,cctb8tb.hpp,NewTMSECBArea,function2
296,crj2ae3c.hpp,crj2ae3c,crj23cwwic
297,ccicnwk.hpp,icnwk_area,ptrToTransactionId
298,ccl8s8s.hpp,l8s8s,l8sgsl2
299,cclyyyy.hpp,WorkFieldArea,dolsWgtSEAvgCredit48Hrs
300,cclwrcw.hpp,LwrCommon,transactionMaximumGrmsRefer
301,cclvzvz.hpp,Lvzvz,lateResponse
302,ccl0k0k.hpp,mastercard8583,isoAcquirerID
303,ccor6dae.hpp,DataType03,lrExistingDollarAmount
304,ccor6dae.hpp,DataType0A,df60AccRev
305,cclwril.hpp,IL_LogRecord,currConversionLog
306,ealmmn.hpp,GetMonitorReply,MonitorNumber
307,ccvp2p2.hpp,Vp2p2,sE04
308,cclwrls.hpp,LinkSource,wctAimId
309,cccn4cn4.hpp,Lc4c4,TransIndicator
310,cclxwxw.hpp,Lxwxw,whyDeniedReasonItem
311,ccpb0pb.hpp,ProcessBlock,paymentDateWorkare
312,cclwroe.hpp,LwrOneExp,oneExpLength
313,cchsmra.hpp,HsmRa,genRandomNum_93
314,otblapi.hpp,OTBL_Screen2T,decliningBalIntlPermMontlyLimit
315,cclwrdn.hpp,Lwrdn,tod15mns
316,cclwrcw.hpp,LwrCommon,basicExposureAlertThreshold
317,ccl7kyy.hpp,L7kLittleY,tmsRecordLength
318,ccyk2k2.hpp,Yk2k2,Yk2_prdcdp
319,cclwry1.hpp,LwrY1ELogArea,lwry1_hdrdi
320,cccr41ae.hpp,Cr41ae,seLnMonthlyAverageVolume
321,cashref.hpp,CashPolicyReferralReasons,transactionIneligibleEFGKL
322,cc89counts.hpp,InputfromPS,Cntrr2
323,cmvdbapi.hpp,CmvDbApi,controlRoute
324,ccdr40ae.hpp,Dr40LRec94,intDelinqIndex
325,cre1ae60.hpp,cre1ae60,cre160_wcceacuw
326,ccl5l5l.hpp,TblMaint,chargeType
327,paydbapi.hpp,ReplacementStatus,cwAreaPtr
328,ccl5z5z.hpp,NtwkCount,dayOfWeek
329,ccdr40ae.hpp,Dr40LRec99,numOfProvisionsMask
330,ccicnwk.hpp,icnwk_area,foreignMerchantIndicator
331,lwrls.hpp,lwrls,lwrls_nw4csc
332,cclwrdw.hpp,Lwrdw,arrUnmatchedCID
333,cccr21ae.hpp,Cr21LRec7A,cmvEstmdByAssumgDefltBalIsLocN
334,cccr41ae.hpp,Cr41ae,seOpenChargeFraudIncidentRate
335,cclwrcx.hpp,OdysseyWCTAccumVar,totDolAprdWCT72hr
336,ccainio.hpp,AinioBTData,ainBTVendor
337,cccr41ae.hpp,Cr41ae,seAverageTicketSizeLast6Month
338,ccdr40ae.hpp,Dr40LRec5D,expiryDateIn
339,seaccxml.hpp,VarGroup,ftgRatioOnSEPREqlToNoCharges
340,cclwrvp.hpp,Lwrvp,AuthBeforePreauthStartDate
341,crciae40.hpp,crciae40,crci40clavxaif
342,cclwrpv.hpp,PayACHVariables,weightedMonthSum
343,ccgr01ae.hpp,Gr01LRec40,localNumberOfDaysLimit
344,cccr26ae.hpp,Cr26LRec7B,sowSpendMaxTransactBal
345,ccl7z7z.hpp,CustomerLvlInfo10,rcutnexp
346,ccle2e2.hpp,Le2SystemDerGenData,merchantStationNum
347,cclwrdw.hpp,PandaBackfeedRule,pandaBkfdTestRule2
348,cclwrvp.hpp,Lwrvp,MerchantSENotIncludedOnPreauth
349,cclwrcw.hpp,LwrCommon,pushTransAmtUSD
350,seaccxml.hpp,seDlrIdVariables,seAvgFraudPOSGBMmodelScore
351,crviae52.hpp,crviae52,crviae52_abangrt
352,cclwrdx.hpp,DX_LogARecord,dacTSGuideAmt
353,ccl5l5l.hpp,Common,ntwkReqNode
354,rpapi.hpp,GpinStatus,unlockStatus
355,ccl7e7e.hpp,L7e7e,allow11B
356,cchsmra.hpp,WithImk2Kcv,binmkKcvFlg
357,cccr41ae.hpp,Cr41ae,seCtgForUsOsbnCustomersWithLowRiskDbsic
358,cclwrgc.hpp,CreditTransformationArea,creditTransform099
359,cclwraw.hpp,LwrAccumWkArea,bcmNMt30
360,paydbapi.hpp,ReturnItemVer2,paymentMakerName
361,ccdr40ae.hpp,Dr40LRec52,cmAcctHiOutOfPattern
362,cccr21ae.hpp,Cr21LRec7A,pastDuePaymentAmount
363,ccl5z5z.hpp,Fir,lastInputMsgTm
364,ccdr40ae.hpp,Dr40LRec52,cmAcctAvgOutOfPattern
365,ccwp1p1.hpp,Wp1p1,csccsSource
366,cclcscs.hpp,defineDetNew,defineTrxType
367,ccfr06ae.hpp,Fr06LRec80,fr06iff
368,cctk0k0.hpp,TK0K0_TKNINQTResponse,updtSrceCd
369,cclwrle.hpp,LwrleDF47EAPlus,LwrleEAPlusDF47ITDEmailLen
370,ccwp1p1.hpp,Wp1p1,rrInfoCode2
371,ccle8e8.hpp,AuthInfo,aaCreditTree2
372,cclwrcx.hpp,GCPClientCDSSVar,cudvtt48
373,ccl7d7d.hpp,BcisCreditAnalysisData,preferredRefIndicator
374,ccl6a6a.hpp,AmexIso8583UniqueFields,acquiringInstitutionLength
375,cclwrg0.hpp,G0_Log0Record,addlFraudNetBen
376,crj2ae33.hpp,crj2ae33,crj233dat
377,ccli7i7.hpp,TbrrItem,localCurrRetnItemAmt
378,ccdr40ae.hpp,ProactClp,acctTenureLo2
379,cccr41ae.hpp,Cr41ae,sePercentAmountFromOPENLENDING
380,cccr81ae.hpp,Cr81LRec35,eventParticipationIndicator2
381,cccr26ae.hpp,Cr26LRec88,purgeDate88
382,ccl0k0k.hpp,Network,logon
383,ccpb0pb.hpp,ProcessBlock,ecPinMlrAlrts
384,cccr26ae.hpp,Cr26LRec66,rlmonths
385,cclwrdw.hpp,Lwrdw,CreReactCalcRul4GrpNo
386,ccl7e7e.hpp,L7e7e,track1Name
387,cclwrs2.hpp,SE_LogS2Record,aavResolutionCode
388,ccdr40ae.hpp,Dr40LRecA5,mxprbf48l
389,cclwrcw.hpp,LwrCommon,vstSameSeDealer
390,cclwrwr.hpp,LwrAddresses,address1CD
391,stoppymt.hpp,StopPaywork,Action
392,cclwrav.hpp,AavAddressItem,phoneLastUpdated3
393,cccr30ae.hpp,Cr30LRec5E,iataCountryCode
394,amapi.hpp,IrTable,irBnkMaskInd
395,ar41ci00.cpp,dataToRecord,newcmstatus
396,ccaddbm.hpp,AddbmBlock,ret460
397,ccli1i1.hpp,OptimaTapeFlatFileDetailRecord,timeChanged
398,lmpdtlg.hpp,LmpDt,filler9
399,cccrq3ae.hpp,CrQ3LRec20,crq320time
400,cclj1j1.hpp,LQ1Q1,fileHeader
401,crviae52.hpp,crviae52,crviae52_totpmcnt
402,ccpvcac.hpp,GetChargeVerificationItemOut,gcAuthResCode
403,ccl7z7z.hpp,AccountLvlInfo7,plasticIssueReasons
404,cclwrts.hpp,TimeStamp,REDS
405,cclwrgc.hpp,CreditTransformationArea,creditTransform235
406,ccdr40ae.hpp,Dr40LRec53,cdssProbTHi
407,cclwrcw.hpp,LwrCommon,partialCidMatch
408,seaccxml.hpp,IpGeoVariables,ipGeoMetroCode
409,cclwraw.hpp,LwrAccumWkArea,hvCmInd
410,unauth.hpp,UAWork,cr28Path
411,ccwp1p1.hpp,Wp1p1,checkAmount
412,cccr26ae.hpp,Cr26LRec7C,lastYearBalTransferCount
413,cclwrpo.hpp,PlasticAuth,totalCardShippedToZip9InLast120Days
414,cclwrgc.hpp,CreditTransformationArea,creditTransform050
415,ccbmcapi.hpp,BankApiLayouts,bankReturnCode
416,cclwraw.hpp,LwrAccumWkArea,dvidd30
417,ccl7d7d.hpp,BcisCreditAnalysisData,rcaLoggingIndicator
418,cc89counts.hpp,IpBlkforAsm,ConstantIp2
419,cclwrgm.hpp,lwrgmBlock,probrmRetrievalIndicator
420,crciae75.hpp,crciae75,crci75clwtpr
421,cced94hdr.hpp,RatesExpanded,FillBuyRteF2
422,lwrls.hpp,lwrls,lwrls_bin_lamt
423,cccr26ae.hpp,Cr26LRec7B,tenureOfPreferSpendCard
424,seaccxml.hpp,seDlrIdVariables,percentageOfTransInMar
425,ccpb0pb.hpp,ProcessBlock,cardmemberStreetAttribute
426,cchsmra.hpp,IO_ValidateArqc,arqc
427,cceapdm.hpp,d610respons,aavres
428,ccl7e7e.hpp,L7e7e,tempOrPermLimitInd3
429,cclwrro.hpp,Lwrro,ilmRequestLOC
430,cccr26ae.hpp,Cr26LRec88,bankruptcies_24months
431,cclwrdl.hpp,Lwrdl,frdNbchrtx
432,cclwrgm.hpp,lwrgmBlock,ceProbca
433,ccl2x2xt.hpp,TmsTable2X,source2CoreLocationF2g1
434,ccl0000.hpp,L00Item,databaseIdentifier
435,crciae43.hpp,crciae43,crci43clfss5p
436,cclwrwr.hpp,LwrAddresses,isoArea
437,ccea0ea.hpp,EA0EA_EARES,totalHits
438,cclgdwb.hpp,SaveAreaU,R0SaveAreaU
439,cccr21ae.hpp,Cr21LRecC5Header,enrolmentId
440,cchubgl.hpp,HubglGnaHubReplyMessage,msgReturnedDate
441,cclwrcz.hpp,LwrczWkArea,cmmaxvic
442,cchsmra.hpp,DerivedIMK,bmkFlg
443,cclwrcw.hpp,LwrCommon,unitedCdssMrcConverted2
444,ccodapr.hpp,InputMsg,usageIndicator
445,ccl0k0k.hpp,OriginalDataArea,mstDateMMDDYY
446,cccr21ae.hpp,Cr21LRec66,cr2166_P6_9
447,ccl0k0k.hpp,VisaIso8583,natlGeoData
448,ccli1i1.hpp,GlobalLimitsLogRecord,tempLimitReasonCode
449,ccdr40ae.hpp,Dr40LRec63,Lrec63PL6_Low
450,cchsmra.hpp,Opt2,lmkDelim
451,cclququ.hpp,LquItem,replyRejMax
